SalesID,SalePrice
1227829,21605.996129734696
1227844,25470.511031508704
1227847,49660.767661257516
1227848,64174.47255704823
1227863,44441.531982524255
1227870,34966.96694425071
1227871,32003.559951105184
1227879,13628.723641299584
1227880,23147.135346154108
1227881,36421.476552665605
1227882,56491.4227086749
1227883,49133.63640444522
1227885,40916.0412081576
1227886,41234.61263307771
1227887,28151.142204405078
1227888,28893.21618944781
1227905,31157.378057568676
1227910,51877.99667238172
1227911,28724.626680925536
1227912,37958.59514029124
1227913,32223.023867472388
1227914,35605.4500287187
1227917,12988.803118745505
1227918,32089.24015493104
1227920,15779.30064892113
1227924,32587.365152192553
1227925,28679.524407149554
1227930,13352.736442525365
1227933,31498.69905829464
1227942,18460.274816804715
1227949,36862.18065896352
1227972,17809.6424507398
1227976,29619.91183518279
1227977,23826.934793556116
1227979,47967.55707015414
1227980,15967.270544882678
1227988,21345.73090572755
1227990,21104.909515868978
1227991,20828.620074982202
1227992,25198.24743284648
1227994,30021.14298733668
1227997,20795.859749558836
1228007,43932.02466035361
1228012,58935.145535203104
1228019,47943.15462899579
1228031,21420.923283501845
1228040,54087.53125267499
1228042,31104.25071256573
1228046,12546.667932573746
1228049,29872.46675190671
1228050,34697.97656966573
1228056,13401.711030360128
1228061,28613.63009796147
1228065,13717.245877853657
1228069,14494.279704444014
1228071,49079.26877946257
1228072,46927.89163723485
1228075,26327.00917038465
1228076,27518.83548412157
1228089,42603.11416121933
1228104,19649.14410418681
1228105,46375.6268172402
1228107,35637.06504688122
1228113,41184.50070834121
1228117,37796.408194499425
1228119,41014.215753501754
1228122,46166.72417021095
1228123,48475.98683426566
1228124,15304.973333855689
1228129,30451.84147668208
1228130,53295.85014605315
1228131,42420.382486182105
1228134,40296.16048014664
1228135,28004.870217007796
1228136,36029.89158305042
1228142,15255.673803626929
1228145,47619.19066517848
1228149,25873.64772905917
1228150,26909.41464332862
1228152,37313.19248337308
1228153,26086.373421711804
1228155,11212.131754809994
1228156,43908.03823953824
1228157,47407.63422259931
1228158,37255.449863066926
1228160,21341.838051836792
1228161,35628.07937939157
1228168,20854.409561173972
1228179,29689.648838702145
1228182,30485.37121755197
1228183,13269.556124424591
1228188,52512.475317986406
1228192,30936.34733220211
1228195,26950.37990833986
1228197,44327.343670835944
1228198,19786.059880888723
1228200,25360.25253523996
1228203,16813.170705998094
1228214,53848.49844233079
1228217,23814.675300669387
1228219,38068.46822973424
1228222,16463.990033505066
1228225,18727.65436747635
1228228,20920.26756415132
1228229,23149.01517355731
1228231,24578.78158724231
1228236,26021.967447891162
1228237,16058.525894878718
1228238,20326.17453854625
1228244,14011.888507197136
1228245,22388.057112413735
1228247,28422.354687387782
1228248,14474.378114639921
1228253,16187.365115018669
1228254,26582.24346334165
1228256,26323.639850151965
1228265,27017.551367492153
1228270,35625.055006608316
1228277,25957.845889544322
1228287,65279.000253752376
1228288,45875.188050103505
1228289,21000.42065457146
1228290,32415.1539835777
1228291,22519.08286876737
1228292,42311.05670956581
1228293,34902.296760472076
1228305,46605.11728558893
1228314,27447.798470775877
1228315,64429.430457152506
1228320,19596.58994962082
1228326,17646.056130321565
1228328,16928.698244426283
1228329,14229.258799032697
1228330,27104.608790724782
1228332,45794.79490325991
1228333,28240.996630068403
1228345,24528.088486686527
1228351,16666.562160967056
1228352,16968.51159281573
1228353,19474.717347528207
1228354,40172.33994201749
1228356,40304.81326843092
1228357,17729.531526131035
1228359,36815.89583392539
1228360,47774.49616026688
1228361,36948.794791129345
1228362,35863.47319721401
1228364,33254.60907139535
1228365,38142.833133937675
1228367,38530.56562446269
1228368,38126.775941923006
1228369,13092.246243590262
1228371,28395.49716900317
1228374,19653.865778584164
1228375,14574.271889643938
1228376,30995.730230489327
1228380,16745.421654404825
1228381,16845.89960706326
1228384,29280.387881492185
1228385,29740.884431510793
1228386,18207.781847576014
1228387,26894.16489443248
1228389,18129.299704718873
1228391,22509.679123712114
1228394,17258.029547851536
1228395,19301.19681049945
1228400,48687.60274737733
1228401,28111.57009101375
1228402,31489.50164642337
1228403,44196.50394988624
1228404,60708.54733351445
1228406,27812.466492212687
1228411,27559.59558775202
1228415,49782.729974227404
1228416,46306.41342131044
1228421,26912.64857627689
1228422,54947.03399687314
1228424,26949.884468073258
1228426,18365.25837466627
1228429,27975.21057578043
1228430,29228.088221011014
1228437,55265.706436290326
1228438,28191.49734072257
1228439,27092.16845841207
1228442,65279.000253752376
1228494,20108.357243062597
1228496,32490.687140677946
